Date,EPS
2022,8.59
2021,13.77
2020,10.09
2019,6.43
2018,7.57
2017,5.39
2016,3.49
2015,1.29
2014,1.1
2013,0.6
2012,0.01
2011,0.46
2010,0.28
2009,0.1
